image_size,feature_extractor,class,precision,recall,f1-score,support
128,HIST,difficult,0.16666666666666666,0.0625,0.09090909090909091,16.0
128,HIST,gametocyte,0.0,0.0,0.0,14.0
128,HIST,leukocyte,1.0,0.8095238095238095,0.8947368421052632,21.0
128,HIST,red_blood_cell,0.9561159097241572,0.9991265104090843,0.9771481455114971,6869.0
128,HIST,ring,1.0,0.005780346820809248,0.011494252873563218,173.0
128,HIST,schizont,0.0,0.0,0.0,12.0
128,HIST,trophozoite,0.7714285714285715,0.32142857142857145,0.453781512605042,168.0
128,HIST,macro avg,0.5563158782599136,0.31405131974032496,0.34686712057206526,7273.0
128,HIST,weighted avg,0.9478656469904995,0.9536642375910903,0.9364084188810674,7273.0
128,HOG,difficult,0.0,0.0,0.0,16.0
128,HOG,gametocyte,0.0,0.0,0.0,14.0
128,HOG,leukocyte,1.0,0.19047619047619047,0.32,21.0
128,HOG,red_blood_cell,0.9449717980464988,1.0,0.971707455085585,6869.0
128,HOG,ring,0.0,0.0,0.0,173.0
128,HOG,schizont,0.0,0.0,0.0,12.0
128,HOG,trophozoite,0.0,0.0,0.0,168.0
128,HOG,macro avg,0.2778531140066427,0.17006802721088435,0.18452963644079784,7273.0
128,HOG,weighted avg,0.8953679748083873,0.9450020624226592,0.9186550954190682,7273.0
128,LBP,difficult,0.008928571428571428,0.125,0.016666666666666666,16.0
128,LBP,gametocyte,0.045871559633027525,0.35714285714285715,0.08130081300813008,14.0
128,LBP,leukocyte,0.5,0.3333333333333333,0.4,21.0
128,LBP,red_blood_cell,0.9749291150574542,0.9510845829087203,0.9628592483419307,6869.0
128,LBP,ring,0.5555555555555556,0.028901734104046242,0.054945054945054944,173.0
128,LBP,schizont,0.01020408163265306,0.08333333333333333,0.01818181818181818,12.0
128,LBP,trophozoite,0.4067796610169492,0.2857142857142857,0.3356643356643357,168.0
128,LBP,macro avg,0.35746693490345877,0.30921573236236805,0.26708827668684804,7273.0
128,LBP,weighted avg,0.9449533470987109,0.9076034648700674,0.9198130537088941,7273.0
